id,date,district,locality,category,department,transcript,sentiment,sentiment_score,priority
493,2026-05-25,Wayanad,New Bypass,Education,Education Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, I am calling regarding an issue in my area. In Wayanad district, near New Bypass, the New Bypass school has been without proper toilets for 6 days, this is affecting girl students. We have been waiting too long, kindly expedite this.
Support Executive: I see, this sounds serious. Let me record this immediately.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you, have a good day. We will update you on the progress.",Negative,-0.67,High
494,2025-02-18,Idukki,School Lane,Waste Management,Municipal Corporation,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I need to register a complaint. In Idukki district, near School Lane, people are dumping waste illegally near School Lane and it is attracting stray animals. Please get this resolved as soon as possible.
Support Executive: Thank you for bringing this to our attention, I am registering this complaint.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you, have a good day. We will update you on the progress.",Negative,-0.71,High
495,2026-04-19,Thiruvananthapuram,Beach Road,Transport,Transport Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, I have been trying to reach someone about this for a while. In Thiruvananthapuram district, near Beach Road, the bus driver on the Beach Road route was driving recklessly and nearly caused an accident. This is an emergency, we need help right now.
Support Executive: Thank you for bringing this to our attention, I am registering this complaint.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you for calling, this has been forwarded to the relevant department.",Negative,-0.85,Critical
496,2026-01-04,Thiruvananthapuram,Railway Station Road,Education,Education Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Good afternoon, I want to bring an urgent issue to your notice. In Thiruvananthapuram district, near Railway Station Road, can you tell me the schedule for the upcoming parent teacher meeting. Okay, thank you for clarifying.
Support Executive: I see, this sounds serious. Let me record this immediately.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you, have a good day. We will update you on the progress.",Neutral,0.17,Low
497,2025-12-13,Thrissur,Bus Stand area,Roads,Public Works Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Good morning, I would like to report a problem. In Thrissur district, near Bus Stand area, when is the road widening project near Bus Stand area expected to start. That's all, thanks for your help.
Support Executive: I'm sorry to hear that, let me log this right away.
Citizen: Yes, please make sure this is followed up on.
Support Executive: We have logged your request and someone will get back to you soon.",Neutral,0.25,Low
498,2025-04-07,Ernakulam,Temple Junction,Education,Education Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, I have been trying to reach someone about this for a while. In Ernakulam district, near Temple Junction, can you tell me the schedule for the upcoming parent teacher meeting. Okay, thank you for clarifying.
Support Executive: Thank you for bringing this to our attention, I am registering this complaint.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Your complaint has been registered with reference number generated. We will follow up shortly.",Neutral,0.03,Low
499,2025-02-03,Kozhikode,Collectorate Road,Government Documentation,Revenue Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I need to register a complaint. In Kozhikode district, near Collectorate Road, the Collectorate Road office gave conflicting information about document requirements. It would help if this could be addressed soon.
Support Executive: Thank you for bringing this to our attention, I am registering this complaint.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you for calling, this has been forwarded to the relevant department.",Neutral,-0.08,Medium
500,2025-03-12,Thiruvananthapuram,MG Road,Healthcare,Health Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I'm calling on behalf of my neighbourhood. In Thiruvananthapuram district, near MG Road, the medicine stock at the MG Road dispensary seems to be running low. It would help if this could be addressed soon.
Support Executive: I see, this sounds serious. Let me record this immediately.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you, have a good day. We will update you on the progress.",Neutral,-0.22,Medium
501,2025-09-28,Kannur,Market Road,Government Documentation,Revenue Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I need to register a complaint. In Kannur district, near Market Road, my ration card application has been stuck for 9 days and my family has no access to subsidised food. Please send someone immediately, this cannot wait any longer.
Support Executive: I see, this sounds serious. Let me record this immediately.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Your complaint has been registered with reference number generated. We will follow up shortly.",Negative,-0.87,Critical
502,2026-03-04,Thrissur,School Lane,Internet Services,IT & Telecom Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I need to register a complaint. In Thrissur district, near School Lane, the broadband bill for School Lane connection shows incorrect charges. It would help if this could be addressed soon.
Support Executive: I understand your concern, let me note down the details.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you for calling, this has been forwarded to the relevant department.",Neutral,-0.11,Medium
503,2026-02-05,Wayanad,Beach Road,Public Safety,Police Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I need to register a complaint. In Wayanad district, near Beach Road, there have been repeated chain snatching incidents reported near Beach Road. Please get this resolved as soon as possible.
Support Executive: I'm sorry to hear that, let me log this right away.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you for calling, this has been forwarded to the relevant department.",Negative,-0.46,High
504,2025-02-12,Idukki,Temple Junction,Government Documentation,Revenue Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Good morning, I would like to report a problem. In Idukki district, near Temple Junction, I wanted an update on my caste certificate application status. Kindly forward this to the concerned department.
Support Executive: I see, this sounds serious. Let me record this immediately.
Citizen: Yes, please make sure this is followed up on.
Support Executive: We have logged your request and someone will get back to you soon.",Neutral,0.08,Medium
505,2026-03-09,Kannur,Civil Station Road,Internet Services,IT & Telecom Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, calling from Kannur district. In Kannur, near Civil Station Road, I appreciate how fast the complaint about Civil Station Road was handled, thank you.
Support Executive: That's wonderful to hear, thank you for the feedback, I will pass it on to the team.
Citizen: No problem, keep up the good work.
Support Executive: Thank you, have a great day!",Positive,0.79,Low
506,2026-02-15,Palakkad,MG Road,Roads,Public Works Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I need to register a complaint. In Palakkad district, near MG Road, construction debris has been left on MG Road for 5 days blocking half the road. Please get this resolved as soon as possible.
Support Executive: I understand your concern, let me note down the details.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Your complaint has been registered with reference number generated. We will follow up shortly.",Negative,-0.43,High
507,2026-01-05,Idukki,Collectorate Road,Roads,Public Works Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Good morning, I would like to report a problem. In Idukki district, near Collectorate Road, the road resurfacing work near Collectorate Road has been incomplete for a while now. Please look into this when possible.
Support Executive: I understand your concern, let me note down the details.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Your complaint has been registered with reference number generated. We will follow up shortly.",Neutral,-0.09,Medium
508,2025-07-13,Kottayam,Panchayat Office area,Water Supply,Water Authority,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, calling from Kottayam district. In Kottayam, near Panchayat Office area, The recent work done by the Water Authority in Panchayat Office area has been excellent, well done.
Support Executive: That's wonderful to hear, thank you for the feedback, I will pass it on to the team.
Citizen: No problem, keep up the good work.
Support Executive: Thank you, have a great day!",Positive,0.59,Low
509,2026-06-15,Kozhikode,MG Road,Education,Education Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, calling from Kozhikode district. In Kozhikode, near MG Road, I appreciate how fast the complaint about MG Road was handled, thank you.
Support Executive: That's wonderful to hear, thank you for the feedback, I will pass it on to the team.
Citizen: No problem, keep up the good work.
Support Executive: Thank you, have a great day!",Positive,0.5,Low
510,2025-04-03,Palakkad,Ward 12,Waste Management,Municipal Corporation,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, I am calling regarding an issue in my area. In Palakkad district, near Ward 12, waste collection has been irregular in Ward 12 for 2 days and the smell is unbearable. This is causing a lot of difficulty for residents, please prioritise it.
Support Executive: I see, this sounds serious. Let me record this immediately.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you, have a good day. We will update you on the progress.",Negative,-0.69,High
511,2026-05-21,Kozhikode,Hospital Road,Education,Education Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, calling from Kozhikode district. In Kozhikode, near Hospital Road, The recent work done by the Education Department in Hospital Road has been excellent, well done.
Support Executive: That's wonderful to hear, thank you for the feedback, I will pass it on to the team.
Citizen: No problem, keep up the good work.
Support Executive: Thank you, have a great day!",Positive,0.74,Low
512,2025-02-27,Wayanad,Market Road,Transport,Transport Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, I am calling regarding an issue in my area. In Wayanad district, near Market Road, could you share information about the senior citizen travel concession. That's all, thanks for your help.
Support Executive: Noted. I will escalate this to the concerned department.
Citizen: Yes, please make sure this is followed up on.
Support Executive: We have logged your request and someone will get back to you soon.",Neutral,0.11,Low
513,2025-06-18,Kannur,Ward 12,Education,Education Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Good morning, I would like to report a problem. In Kannur district, near Ward 12, we would like more computers at the Ward 12 government school. Kindly forward this to the concerned department.
Support Executive: Thank you for bringing this to our attention, I am registering this complaint.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Your complaint has been registered with reference number generated. We will follow up shortly.",Neutral,-0.23,Medium
514,2025-05-20,Thiruvananthapuram,Ward 7,Government Documentation,Revenue Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, I have been trying to reach someone about this for a while. In Thiruvananthapuram district, near Ward 7, can you tell me the working hours of the Ward 7 village office. That's all, thanks for your help.
Support Executive: I understand your concern, let me note down the details.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you for calling, this has been forwarded to the relevant department.",Neutral,0.16,Low
515,2025-09-24,Kannur,Beach Road,Education,Education Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I'm calling on behalf of my neighbourhood. In Kannur district, near Beach Road, the Beach Road school has been without proper toilets for 4 days, this is affecting girl students. This is causing a lot of difficulty for residents, please prioritise it.
Support Executive: I see, this sounds serious. Let me record this immediately.
Citizen: Yes, please make sure this is followed up on.
Support Executive: We have logged your request and someone will get back to you soon.",Negative,-0.46,High
516,2025-08-29,Idukki,Railway Station Road,Waste Management,Municipal Corporation,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I need to register a complaint. In Idukki district, near Railway Station Road, I want to know the schedule for the door to door waste collection. Okay, thank you for clarifying.
Support Executive: I see, this sounds serious. Let me record this immediately.
Citizen: Yes, please make sure this is followed up on.
Support Executive: We have logged your request and someone will get back to you soon.",Neutral,-0.01,Low
517,2025-09-21,Ernakulam,Ward 7,Government Documentation,Revenue Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Good afternoon, I want to bring an urgent issue to your notice. In Ernakulam district, near Ward 7, my income certificate application submitted at the Ward 7 office has been pending for 3 days. We have been waiting too long, kindly expedite this.
Support Executive: I'm sorry to hear that, let me log this right away.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Your complaint has been registered with reference number generated. We will follow up shortly.",Negative,-0.43,High
518,2025-07-31,Kottayam,MG Road,Electricity,Electricity Board,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Good afternoon, I want to bring an urgent issue to your notice. In Kottayam district, near MG Road, a transformer exploded near MG Road and the entire area has had no electricity since last night. People are at risk, please treat this as top priority.
Support Executive: I see, this sounds serious. Let me record this immediately.
Citizen: Yes, please make sure this is followed up on.
Support Executive: We have logged your request and someone will get back to you soon.",Negative,-0.73,Critical
519,2025-08-30,Kannur,Beach Road,Electricity,Electricity Board,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, I have been trying to reach someone about this for a while. In Kannur district, near Beach Road, our electricity bill this month seems unusually high and I want it checked. It would help if this could be addressed soon.
Support Executive: I see, this sounds serious. Let me record this immediately.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you, have a good day. We will update you on the progress.",Neutral,-0.04,Medium
520,2025-01-29,Thiruvananthapuram,Industrial Estate,Education,Education Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I need to register a complaint. In Thiruvananthapuram district, near Industrial Estate, the Industrial Estate school has been without proper toilets for 6 days, this is affecting girl students. This is causing a lot of difficulty for residents, please prioritise it.
Support Executive: Noted. I will escalate this to the concerned department.
Citizen: Yes, please make sure this is followed up on.
Support Executive: We have logged your request and someone will get back to you soon.",Negative,-0.57,High
521,2026-01-29,Palakkad,Ward 12,Electricity,Electricity Board,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I'm calling on behalf of my neighbourhood. In Palakkad district, near Ward 12, can you tell me when the next scheduled maintenance shutdown is for Ward 12. That's all, thanks for your help.
Support Executive: I'm sorry to hear that, let me log this right away.
Citizen: Yes, please make sure this is followed up on.
Support Executive: We have logged your request and someone will get back to you soon.",Neutral,0.03,Low
522,2025-02-21,Ernakulam,Temple Junction,Electricity,Electricity Board,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, I am calling regarding an issue in my area. In Ernakulam district, near Temple Junction, we are having frequent power cuts of 9 hours every day without prior notice. Please get this resolved as soon as possible.
Support Executive: I'm sorry to hear that, let me log this right away.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Your complaint has been registered with reference number generated. We will follow up shortly.",Negative,-0.37,High
523,2025-02-08,Wayanad,Market Road,Transport,Transport Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Good afternoon, I want to bring an urgent issue to your notice. In Wayanad district, near Market Road, the bus frequency on the Market Road route has reduced and commuters are facing delays. It would help if this could be addressed soon.
Support Executive: Thank you for bringing this to our attention, I am registering this complaint.
Citizen: Yes, please make sure this is followed up on.
Support Executive: We have logged your request and someone will get back to you soon.",Neutral,-0.22,Medium
524,2025-02-14,Thiruvananthapuram,Railway Station Road,Water Supply,Water Authority,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I'm calling on behalf of my neighbourhood. In Thiruvananthapuram district, near Railway Station Road, could you tell me the schedule for water supply in Railway Station Road this week. Okay, thank you for clarifying.
Support Executive: I'm sorry to hear that, let me log this right away.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Your complaint has been registered with reference number generated. We will follow up shortly.",Neutral,0.08,Low
525,2025-05-23,Ernakulam,Ward 12,Waste Management,Municipal Corporation,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Good morning, I would like to report a problem. In Ernakulam district, near Ward 12, I want to know the schedule for the door to door waste collection. That's all, thanks for your help.
Support Executive: I understand your concern, let me note down the details.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you, have a good day. We will update you on the progress.",Neutral,0.23,Low
526,2026-02-05,Palakkad,Industrial Estate,Roads,Public Works Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, I am calling regarding an issue in my area. In Palakkad district, near Industrial Estate, the road in Industrial Estate has been full of potholes for 4 days and vehicles keep getting damaged. Please get this resolved as soon as possible.
Support Executive: I see, this sounds serious. Let me record this immediately.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you for calling, this has been forwarded to the relevant department.",Negative,-0.63,High
527,2025-06-17,Kottayam,Ward 12,Education,Education Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Good afternoon, I want to bring an urgent issue to your notice. In Kottayam district, near Ward 12, the scholarship payment for Ward 12 students has been delayed for 4 days. It would help if this could be addressed soon.
Support Executive: Thank you for bringing this to our attention, I am registering this complaint.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Your complaint has been registered with reference number generated. We will follow up shortly.",Neutral,-0.19,Medium
528,2026-01-30,Kottayam,Hospital Road,Waste Management,Municipal Corporation,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Good morning, I would like to report a problem. In Kottayam district, near Hospital Road, people are dumping waste illegally near Hospital Road and it is attracting stray animals. We have been waiting too long, kindly expedite this.
Support Executive: I'm sorry to hear that, let me log this right away.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Your complaint has been registered with reference number generated. We will follow up shortly.",Negative,-0.66,High
529,2026-01-10,Alappuzha,Industrial Estate,Public Safety,Police Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, I am calling regarding an issue in my area. In Alappuzha district, near Industrial Estate, I wanted to know the process to file a noise complaint for Industrial Estate. That's all, thanks for your help.
Support Executive: Noted. I will escalate this to the concerned department.
Citizen: Yes, please make sure this is followed up on.
Support Executive: We have logged your request and someone will get back to you soon.",Neutral,0.17,Low
530,2025-11-05,Alappuzha,Bus Stand area,Waste Management,Municipal Corporation,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, calling from Alappuzha district. In Alappuzha, near Bus Stand area, The recent work done by the Municipal Corporation in Bus Stand area has been excellent, well done.
Support Executive: That's wonderful to hear, thank you for the feedback, I will pass it on to the team.
Citizen: No problem, keep up the good work.
Support Executive: Thank you, have a great day!",Positive,0.75,Low
531,2025-11-02,Thrissur,Railway Station Road,Public Safety,Police Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Good morning, I would like to report a problem. In Thrissur district, near Railway Station Road, there have been repeated chain snatching incidents reported near Railway Station Road. This is causing a lot of difficulty for residents, please prioritise it.
Support Executive: I understand your concern, let me note down the details.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Your complaint has been registered with reference number generated. We will follow up shortly.",Negative,-0.65,High
532,2025-02-12,Thiruvananthapuram,Bus Stand area,Waste Management,Municipal Corporation,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I'm calling on behalf of my neighbourhood. In Thiruvananthapuram district, near Bus Stand area, can you share details about the new segregation rules for Bus Stand area. That's all, thanks for your help.
Support Executive: I'm sorry to hear that, let me log this right away.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you for calling, this has been forwarded to the relevant department.",Neutral,0.12,Low
533,2025-12-02,Kannur,Hospital Road,Transport,Transport Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Good afternoon, I want to bring an urgent issue to your notice. In Kannur district, near Hospital Road, the bus frequency on the Hospital Road route has reduced and commuters are facing delays. Please look into this when possible.
Support Executive: I see, this sounds serious. Let me record this immediately.
Citizen: Yes, please make sure this is followed up on.
Support Executive: We have logged your request and someone will get back to you soon.",Neutral,0.06,Medium
534,2025-06-15,Alappuzha,Hospital Road,Healthcare,Health Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I'm calling on behalf of my neighbourhood. In Alappuzha district, near Hospital Road, the government hospital in Hospital Road has been short staffed for 8 days and patients are waiting for hours. This is causing a lot of difficulty for residents, please prioritise it.
Support Executive: I understand your concern, let me note down the details.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you for calling, this has been forwarded to the relevant department.",Negative,-0.57,High
535,2025-12-16,Kozhikode,Panchayat Office area,Electricity,Electricity Board,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I'm calling on behalf of my neighbourhood. In Kozhikode district, near Panchayat Office area, our electricity bill this month seems unusually high and I want it checked. Please look into this when possible.
Support Executive: I see, this sounds serious. Let me record this immediately.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you, have a good day. We will update you on the progress.",Neutral,-0.11,Medium
536,2025-07-10,Kannur,Market Road,Water Supply,Water Authority,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I need to register a complaint. In Kannur district, near Market Road, there is a minor leak near the Market Road junction that is wasting a lot of water. Please look into this when possible.
Support Executive: I understand your concern, let me note down the details.
Citizen: Yes, please make sure this is followed up on.
Support Executive: We have logged your request and someone will get back to you soon.",Neutral,0.1,Medium
537,2025-05-11,Idukki,New Bypass,Internet Services,IT & Telecom Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, I have been trying to reach someone about this for a while. In Idukki district, near New Bypass, the broadband bill for New Bypass connection shows incorrect charges. Please look into this when possible.
Support Executive: Noted. I will escalate this to the concerned department.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you, have a good day. We will update you on the progress.",Neutral,-0.16,Medium
538,2025-05-11,Thiruvananthapuram,Ward 7,Healthcare,Health Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I'm calling on behalf of my neighbourhood. In Thiruvananthapuram district, near Ward 7, there is a dengue outbreak in Ward 7 and the hospital says they are out of essential medicines. Please send someone immediately, this cannot wait any longer.
Support Executive: I see, this sounds serious. Let me record this immediately.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Your complaint has been registered with reference number generated. We will follow up shortly.",Negative,-0.83,Critical
539,2026-04-07,Kottayam,Civil Station Road,Electricity,Electricity Board,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, I am calling regarding an issue in my area. In Kottayam district, near Civil Station Road, the meter reading at our Civil Station Road residence appears to be incorrect. Please look into this when possible.
Support Executive: Noted. I will escalate this to the concerned department.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Your complaint has been registered with reference number generated. We will follow up shortly.",Neutral,0.05,Medium
540,2025-11-16,Idukki,School Lane,Government Documentation,Revenue Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, calling from Idukki district. In Idukki, near School Lane, The recent work done by the Revenue Department in School Lane has been excellent, well done.
Support Executive: That's wonderful to hear, thank you for the feedback, I will pass it on to the team.
Citizen: No problem, keep up the good work.
Support Executive: Thank you, have a great day!",Positive,0.84,Low
541,2026-01-05,Alappuzha,Railway Station Road,Healthcare,Health Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I need to register a complaint. In Alappuzha district, near Railway Station Road, the ambulance service for Railway Station Road took over an hour to respond to an emergency call. We have been waiting too long, kindly expedite this.
Support Executive: Noted. I will escalate this to the concerned department.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you, have a good day. We will update you on the progress.",Negative,-0.44,High
542,2025-02-23,Kottayam,Civil Station Road,Public Safety,Police Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I need to register a complaint. In Kottayam district, near Civil Station Road, there have been repeated chain snatching incidents reported near Civil Station Road. This is causing a lot of difficulty for residents, please prioritise it.
Support Executive: I understand your concern, let me note down the details.
Citizen: Yes, please make sure this is followed up on.
Support Executive: We have logged your request and someone will get back to you soon.",Negative,-0.7,High
543,2025-01-19,Palakkad,Railway Station Road,Electricity,Electricity Board,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, I have been trying to reach someone about this for a while. In Palakkad district, near Railway Station Road, I want to know the process for a new electricity connection. That's all, thanks for your help.
Support Executive: Noted. I will escalate this to the concerned department.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Your complaint has been registered with reference number generated. We will follow up shortly.",Neutral,0.34,Low
544,2026-01-13,Thrissur,Bus Stand area,Education,Education Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, calling from Thrissur district. In Thrissur, near Bus Stand area, I just wanted to thank the Education Department team, the issue in Bus Stand area was resolved very quickly.
Support Executive: That's wonderful to hear, thank you for the feedback, I will pass it on to the team.
Citizen: No problem, keep up the good work.
Support Executive: Thank you, have a great day!",Positive,0.59,Low
545,2025-02-25,Kottayam,Temple Junction,Healthcare,Health Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Good afternoon, I want to bring an urgent issue to your notice. In Kottayam district, near Temple Junction, the ambulance service for Temple Junction took over an hour to respond to an emergency call. This is causing a lot of difficulty for residents, please prioritise it.
Support Executive: Thank you for bringing this to our attention, I am registering this complaint.
Citizen: Yes, please make sure this is followed up on.
Support Executive: We have logged your request and someone will get back to you soon.",Negative,-0.68,High
546,2026-04-17,Alappuzha,Bus Stand area,Waste Management,Municipal Corporation,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, I am calling regarding an issue in my area. In Alappuzha district, near Bus Stand area, can you share details about the new segregation rules for Bus Stand area. Thank you, I just wanted some information.
Support Executive: Noted. I will escalate this to the concerned department.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you for calling, this has been forwarded to the relevant department.",Neutral,0.28,Low
547,2026-01-29,Ernakulam,Collectorate Road,Roads,Public Works Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, I have been trying to reach someone about this for a while. In Ernakulam district, near Collectorate Road, there is no streetlight and no road markings on the new stretch near Collectorate Road, accidents are increasing. We have been waiting too long, kindly expedite this.
Support Executive: Thank you for bringing this to our attention, I am registering this complaint.
Citizen: Yes, please make sure this is followed up on.
Support Executive: We have logged your request and someone will get back to you soon.",Negative,-0.66,High
548,2025-03-31,Palakkad,Railway Station Road,Roads,Public Works Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Good afternoon, I want to bring an urgent issue to your notice. In Palakkad district, near Railway Station Road, drainage on the side of the Railway Station Road road is broken and water pools on the street. It would help if this could be addressed soon.
Support Executive: I see, this sounds serious. Let me record this immediately.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you, have a good day. We will update you on the progress.",Neutral,0.06,Medium
549,2025-08-07,Kannur,Beach Road,Education,Education Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, I am calling regarding an issue in my area. In Kannur district, near Beach Road, can you tell me the schedule for the upcoming parent teacher meeting. Okay, thank you for clarifying.
Support Executive: I see, this sounds serious. Let me record this immediately.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you for calling, this has been forwarded to the relevant department.",Neutral,0.08,Low
550,2025-04-16,Thiruvananthapuram,Industrial Estate,Internet Services,IT & Telecom Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, calling from Thiruvananthapuram district. In Thiruvananthapuram, near Industrial Estate, The recent work done by the IT & Telecom Department in Industrial Estate has been excellent, well done.
Support Executive: That's wonderful to hear, thank you for the feedback, I will pass it on to the team.
Citizen: No problem, keep up the good work.
Support Executive: Thank you, have a great day!",Positive,0.92,Low
551,2026-01-18,Alappuzha,Beach Road,Government Documentation,Revenue Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, calling from Alappuzha district. In Alappuzha, near Beach Road, I just wanted to thank the Revenue Department team, the issue in Beach Road was resolved very quickly.
Support Executive: That's wonderful to hear, thank you for the feedback, I will pass it on to the team.
Citizen: No problem, keep up the good work.
Support Executive: Thank you, have a great day!",Positive,0.76,Low
552,2025-03-04,Kottayam,MG Road,Electricity,Electricity Board,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, I have been trying to reach someone about this for a while. In Kottayam district, near MG Road, I want to know the process for a new electricity connection. That's all, thanks for your help.
Support Executive: Noted. I will escalate this to the concerned department.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you, have a good day. We will update you on the progress.",Neutral,0.04,Low
553,2026-05-22,Wayanad,New Bypass,Electricity,Electricity Board,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Good afternoon, I want to bring an urgent issue to your notice. In Wayanad district, near New Bypass, the meter reading at our New Bypass residence appears to be incorrect. Kindly forward this to the concerned department.
Support Executive: Thank you for bringing this to our attention, I am registering this complaint.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Your complaint has been registered with reference number generated. We will follow up shortly.",Neutral,-0.12,Medium
